code,definition,Example 1,Example 2,Example 3
layout:maintain reading order,support a natural reading flow,Use *text hierarchy* to guide the viewer. Big Title &gt; Smaller subtitle &gt; Even smaller chart title This should be consistent. I see the 1st three titles are bold but the last one is not for example.,"I have a problem with the legend for the bar chart being at the top of the dashboard, and then having the attrition rating horizontals surrounding that.",I personally use filters on the left hand side because we read from left to right and it make sense that way. 
layout:fit page and space,choose page structure and fit available screen space without awkward crowding,"Page 2 insights text: add padding so it doesn't run so close to the edges; because there's room, make the text bigger and add more spacing between paragraphs.","While the images are catching, they take up about 1/3 of your view. I'd ask how much they are contributing. Perhaps they could be floated to the background, or the titles place on top of them?",Take all the legends and highligh drop down and move them to a single horizontal container - place it at the top - it will give youi more horizontal space and clean up the clutter
layout:reduce layout complexity,keep the layout simple and remove unnecessary repeated views,Make sure to only publish what you actually want users to be able to view. Right now there are 5 dashboards and over 20 sheets viewable.,2 maps? Really?  they are great to show a variation across region for AND use to navigation (filtering) but take up room that is better devoted to some thing else,"if you move the Y/N legend to float in the space where the bars are, then you don't need the axis.  Honestly, you don't need the legend, now that I think about it, because the axis is clearly labeled."
layout:prioritize component placement,"place and size components according to role, importance, hierarchy, and purpose","Organization is critical, too: put the most important aspects of your story first, followed by detail. In western countries, viewers read from the upper-left, across, and down","Your upper left BAN with icon, sparkline, and value is nice, but your icon takes up 50% of the space and doesn't really contribute to your data story. That represents a lot of unused space.","Your most important question should not be lower right side, but rather top center -- or at least very bold somewhere."
layout:support comparison,place comparable things where they can be compared fairly,"To improve clarity even further, you could sort the Campaign Name axis by maximum average engagement rate. This would group higher performing campaigns together and make comparison across emotions more intuitive.","you may re-think the order of graph 2 on page 3: why is it ordered lowest-to-highest? Would it make more sense to have it listed in the same order as the graph or the right, or at very least highest-to-lowest?","The color segmentation in your chart does show the difference between single-listing and multi-listing hosts, but the stacked layout makes it a little harder to directly compare the two groups. If you want the pricing differences to stand out more clearly, switching to side by side bars (instead of stacked bars) would make the comparison much easier."
layout:keep layout consistent,keep repeated elements in predictable places,it would be easier for the user to quickly compare wins across teams and tournaments if the location of the tournament shape was consistent in each country block,"Make sure your dashboards/workbooks are using the same screen presentation type and are the same size. For example, on page 6 one graph required scrolling while it's reciprocal did not",I notice a slight misalignment of the width of the navigation and functions pane on the left. Matching the width of the icon will make it look more balanced.
,,,,
data:summarize key information,"summarize and surface key values, trends, status, or performance signals","for the layout and story flow, you did well but it can be improved by adding kpi’s maybe a big number showing the overall number of “No show story flow”. You can go a step further and compare that number to a benchmark or another period.","Adding an rolling average is a good idea, that gives the chart a clearer view of the seasonal trend.","Showing absolute counts alongside percentages would definitely add depth. Right now, the success rates are clear, but seeing the number of records per group (especially for job and education) would make the context stronger — it helps distinguish between high success rates that come from large versus small groups."
data:select and scope data,include relevant data and indicators at a focused scope that supports real questions or actions,"This dataset offers a lot of data to explore, which can make dashboards feel overwhelming. *When you have LOTS of data like this, its important to stay focused and pull the reader through to the conclusion*","Averages are fine-- but are they _conclusive_? BINS might be a better way to represent this data... with increasing ""attraction"" vs. likelihood of matching. Bins might better support your hypothesis","If your purpose is to focus on the Top 10, then reduce some of the other detail accordingly. There's too much on the dashboard for it be clear or actionable."
data:define and manage metrics,"define, balance, and maintain metrics as a coherent set",the heat map shows the number of jobs and TOTAL SALARY - a better measure is Avg Salary,How does the double-digit rate in the lower charts relate to the low single-digit rate in the upper left chart - why is there a difference?,"I'm curious what ""shared interest similarity"" _is_. Was a definition provided? If so, this might be a good piece to include in your graph."
data:show relationships in data,"show how metrics, signals, or related information connect or trade off","Overall, the trends per region are a bit buried; can only be seen by selecting 1 then viewing the little trend line on the top right, which doesn't grant a lot of trend insights besides ""number go up""",I myself don't find static number much useful unless there is a reference it compares to so may be showing YoY growth % may highlight the purpose and answer some questions. ,"Can you normalize how much this impacts the dating process? Example, If I've a 5.5 and I move a full point to a 6.5, by how much do my chances increase?"
data:ensure data quality and infrastructure,"ensure data is accurate, fresh, trustworthy, and supported by necessary systems",the Donut chart proportions and tooltip number are not consistent - something is wrong,The lower left chart is misleading - when I hover over a mark the stress level in the tooltip is a total ( like 937) but the record level stress varies from 1-10 -,the radial bar chart does not reflect a % of total as the title implies - the total of the bars would exceed 100% so something is wrong - also the radial bar format in difficult for viewer to compare values
data:support valid inference,"avoid misleading conclusions from small samples, weak significance, confounds, or invalid comparisons","I'd encourage you to explore the data further - I suspect high shipping costs is not why Tables are unprofitable. If it were the shipping costs, then you should expect copiers, bookcases, and appliances to be unprofitable as well!","Czechia is said to follow poland with soaring wages, but when I look at that row in the table, the 2020 number is 546 euros and the 2025 number is 826...if I'm reading the table right it seems like the story here may not be soaring wages but a heavy drop from 2024-2025?","A common issue with any observation trend: are measurements increasing, is measurement quality improving, or is there a rate increasing."
,,,,
text:support interpretation and analysis,"use labels, axes, symbols, or short explanatory text to make values and encodings interpretable",Add labels in the treemap for clarity.,The message is clear: casual hosts have higher efficiency. Just replace the truncated axis title with: “Average Engagement Efficiency (%)” And consider adding labels above the dots to help non-technical viewers.,"The title on the lower left chart is misleading - you are presenting sales made at discount v full price, so say so in the title"
text:communicate takeaways,"state a conclusion, implication, key takeaway, or call to action in text","Bear in mind your data story. Ask: can the user *quickly* get the information using the view I created? I will sometimes rephrase the title as a question to better frame the dashboard. If you're not sure what the question is, you probably need to dig deeper.","Your title implies you have reached some conclusions about trends in the market - what are they?  is the market trending up or down - is it localized to specific regions, specialties - that is the story you can  develop","Not sure if executives would have to have the time to interact with the filters on the dashboard, to click on the heatmap to filter the scatter plot. So all insights could be summarized to scan the content quickly and tell a story for your data. "
text:keep text readable and concise,make text easy to read and scan without unnecessary wording,"You might also rethink how many decimals are needed  in your bars: you currently have 3... but if you reduced this to 2, would you lose insight? You WOULD make your numbers a bit easier to read!","for monthly guest reviews, labeling every point makes it very cluttered. I'd recommend labeling just the line ends, or the min and max value for each city.",I think you might have excessive verbiage here that is getting in the way of possible insights.  Was this verbiage all AI generated?
text:guide reading,use text to guide the reading path,"First, ADD a TITLE to the dashboard so viewers know what you are doing.  The title should entice the viewer to enter the dashboard to learn more about the topic","Add section headers. This may be too obvious to you, but users might not have the same understanding of the data and analysis in the dashboard. Without the section titles, I initially got confused about where the week numbers in the middle belong (bubble chart vs. line chart).",I recommend left-aligning titles for improved readability.
text:pair with symbols,let text and symbols clarify each other,,,
text:use familiar terms,use words users would naturally use,"I would recommend renaming some dimensions straight away, I don't know what ""Rel Roadname"", ""Reljct1Name"", etc mean and there's no explanation in the dashboard.","Consider to change the month from numbers to names (Example: Jan, May, October). That way the seasonality is easy to recognizable."," What do CT, FL, FT and PT mean? I’m guessing full and part time and something else! Lots of readers won’t know what these mean and it would be best to alias them to the full description."
,,,,
visual design:manage visual complexity,reduce clutter and balance visual complexity with usefulness so the display stays organized, I think your graphs are fine for answering your questions but there is a lot of clutter - simplifying your labels and removing your gridlines will help.,Limit yourself to 5 colors max,The inclusion of labels on the remaining 3 charts is distracting - be selective - show points of interest and build a story around them - let the axes and color scheme do their job in conveying information
visual design:keep appearance consistent,keep the overall look consistent,"you have a nice baby blue background, but your charts and images are all white backgrounds: *I'd recommending making the board White to match or making all the charts have clear backgrounds.","*Consistency is key:* in some charts you have 100% opaccity, in others you don't. In your Continental Trend Africa is Green, but the dots that make up Africa aren't all green.", There are also too many different font sizes and bold vs not bold where it doesn't need to be.  Having the title as a totally different small font doesn't make sense to me.
visual design:guide attention,draw attention to what matters,"If you're experimenting, you might try reducing the opacity of your background to about 25%, making it very, very pale. My rationale for this is that darker color can really serve as an attractor for our eyes. Reducing the intensity allows your graphs to pop, yet it won't be so intense as to take our attention away from the numbers!",I would look for a way to highlight the text on the left more. I realized it was talking about what I was looking at BEFORE i realized it changed with the clicks.  &lt;-- it should be obvious to the reader they are being fed info!,"You have some KPIs (Big Ass Numbers) that are critically important, but they're lost visually because they're in an unremarkable font. Make the top of your view a DEDICATED BAN BAR  and containerize those KPIs, really blasting the font size to make them noticeable."
visual design:support acceptance,"make the visual design feel credible, acceptable, and engaging enough to use","Regarding the color, red is often associated with blood. If you had a loved one who died in a car accident, would you want them represented this way? It may be more empathetic to your readers to choose a more neutral color.","Does ""Eye Store"" have a brand image that you could sneak in?","If you want to take your scatter plot to the next level, consider custom shapes so you can use flags not colors"
visual design:provide redundant cues,"add a second visual cue—such as a label, icon, shape, pattern, or border—so meaning is not conveyed by color alone",,,
visual design:use common visual vocabulary,use visual conventions readers can pick up quickly,"take advantage of pre-attentive attributes - in most cultures, Red is considered a bad (high) rating - and Orange (yellow) medium",Reconsider the lollipop graph and look at a *bar chart* instead. A bar chart will allow you to associate more of the color-- rather than the drop at the end.,"Check your year dates* and make sure they aren't showing thousands separators ""2,024"""
visual design:keep accessible,keep the visual display easy enough to access,Contrast. The light colors against field of white made this difficult for me to read. Have you considered making the background black and see how that changes the view?,"I noticed some have very small numbers in them-- others do not. I assume this is for wins? I thought the font size was a bit small, and I expected to see them for all teams, not just those with more than 1 win. I think a larger font can greatly help, as estimating sizes of odd-shaped polygons is very difficult.","I think the one thing that strikes me the most is the color contrast, especially when you are using different shades of the same color against a dark background. You can use tools like <contrastChecker> to choose colors that aids readability"
visual design:use meaningful familiar components,"use icons, symbols, widgets, or components that are recognizable and clarify meaning","  I don't mean to nitpick, but most of these Asian cuisines typically use chopsticks by default - not forks and knives...",,
,,,,
cognition:reduce recall,keep cues visible so users do not have to remember everything,"The order of the win diamonds-- I'm assuming since I can't hover-- is based on the date? I wonder if this would be more successful if you arranged them by *total wins*, as counting/comparing visually can be really tricky.","lso, have you thought about adding a reference line at the dataset average? It would give the user an instant benchmark to see which occupations are trending above or below the norm without having to do the mental math.","Imagine you're packing for a long trip: you tell someone to keep one number in mind. One the road to your destination, you pass many distracting roads and  interesting colors until, when you're at last at your destination, you ask that person what the number was and how it compares. They may well have forgotten it. Shortening that distance between A and B reduces the probability that your viewer will have forgotten their starting value. And while I don't want to reinvent your views, it might be nice to have *dynamic difference* rather than having to do mental math."
,,,,
context:provide interpretive context,"add descriptions, explanations, and surrounding context needed to interpret the view","I'm not sure what ""approved"" means as part of the 1-5 star scale. It would be worth exploring how to break this out separately, or explain to the end user what ""approved"" means in this context.","I'd suggest adding a locator map. I'm not very familiar with Egypt's geography, a locator map would help me understand exactly which part of the country I'm looking at",What is the definition of Burnout?  - don't assume the  viewer know?
context:disclose source,say where the data comes from and how it was handled,Did you provide a citation for your data source? A footnote would be appropriate.,"From my early makeover monday days, we were encouraged to put the source of the data - it's good that you've called out that this is makeover monday week 31, but if someone is not deeply familiar with the project, they would not be able to dig in to see where you got your numbers from.",
context:state assumptions,"make assumptions, caveats, and data freshness visible","You are assuming the reading understand how the attrition rate is calcualted - It is not consistent throughout industry (some use the count at the start of the period as the denominator - others average over the period ) you can add your calculation as a note, annotation  or in a tooltip.",Another important metric is to include 'Data Refresh Timestamp' somewhere to show how current the data is. I am not sure if these two are relevant in your business use case. Well done!,
context:show history,show past state when it helps explain the current one,,,
,,,,
interaction:support exploration and detail access,"let users explore, filter, and access more detail when needed","If I had to suggest a small enhancement, maybe consider adding a *filter or highlight action* to quickly focus on one fuel type or model at a time. It would make exploration even more interactive.",You could consider adding a *highlight action or Region color* so viewers can quickly see which regions the top countries belong to.,"I was hoping that when the Clickable Card was presented, that I could then click through each Area to update the BAN, as an additional area of drill down."
interaction:support personalization,"let users access or tailor settings, views, and formats to their needs",,,
interaction:support efficient use,support faster paths for repeated use,Do you need the sidebar filter at all? Consider using the charts themselves as click-to-filter (click a month rather than filter to January; use Time of Day as click-to-filter).,"As you have only 2 filters, I would just show the ""Select Location Type"" so to save 1 extra click of the green Filters button.",Filtering needs improvement. The game title filter shows 40K titles in the dropdown. No one will scroll through the list to find a title from such a long list. Simply change the filter type to Wildcard Match.
interaction:show system status and response,"make system state, feedback, and responses to user actions visible","Lack of explanation of what happens next after selecting a league in ""The 2024-2025 Formation Landscape"" section. It took me some time to realize that subsequent sections change based on the selection made.",,
interaction:guide and orient users,"help users know where they are, what to do next, and how to proceed",You can add instructions for the viewer - tell them how to drive the interaction and what to expect ,Finally - what do you want the user to do to interact with the dashboard - you need to tell them good first attempt,"The lollipop action was a bit confusing: I expected sorting by sunburst slices would render the same point colors, but this doesn't seem to be the case. Maybe instructions would be helpful?"
interaction:support control and recovery,let users control the flow and recover from unwanted or dead-end states,"In your map, *consider turning off map controls*-- this will prevent people from dragging the map around and then panicking about how to get it re-centered","*I would always recommending disabling command buttons (photo 1 below)* and often the selection by category too. This will keep people from accidentally filtering to 1 option when they double click really fast and accidentally hit ""keep only"" (photo 2)",I'd recommend putting a floating blank box over elements you don't want people to click
interaction:alert and advise,warn users when something important needs attention,,,
interaction:ensure functional fit,make sure features and functions match the dashboard purpose,Use filter based on utility of your audience . If it’s not needed than it’s not needed.,Use filter based on utility of your audience . If it’s not needed than it’s not needed.,"I'm glad to see you have some actions between your dashboards. I'd ask myself if they were helping people drill down to answers, though. The Attrition numbers only give 0% or 100% on the Satisfaction Graph which doesn't seem quite right."
interaction:support evolution,leave room for feedback and dashboard changes over time,,,
interaction:support flexible formats,let the format or level of aggregation change when useful,"If you must use the full lists of Complaint filed By and Type of Complaints, then either use Measure swapping or Dynamic Zone Visibility to minimize the crowdedness.","why not have a quadrant for each of Podcast count, Views, Comments, Likes? Can even add some dynamic features to toggle the podcast views chart to sort based on those!",
interaction:handle empty states,"avoid blank or empty states, or explain them clearly when no data is shown","In addition, the Select Gaming Console filter depends on the title selection. I find it a bit annoying to see a blank view after selecting a title because the selected console is not available for the title.",Finally the filters are interact and return a null (blank) - need to tell the viewer how to use them and the significance of including Null values in the filter (or eliminate the option) look forward to see the next iteration,
Interaction:support coordinated views,propagate filters and selections across views referencing the same data,"One thing I’d strongly recommend is leaning into those filter actions. Make sure that clicking an occupation bar automatically filters your weekend chart, it makes the 'deep dive' feel much more seamless for the user.","Your upper bars don't change when the metric changes. When all those number change in your heatmap, I'd expect the bars to follow suit.",You have some great heatmaps on page 6. Might be nice to see dynamic bar charts appear depending on what metrics the user selects to they could compare one vs. the other.
,,,,
task:task support analysis,"support the questions, monitoring, comparisons, and decisions users need to handle","As a general practice, start with questions when you design a dashboard. There is a big difference between 'data-surfacing dashboards' and 'question-answering dashboards'"," what choice would make the primary insight of the dashboard clearer, I'll ask a question back to you --what is the primary insight of this dashboard?","I don't think your focus should be on ""making the chart more unique"" - your focus should be ""can my readers understand what I am trying to communicate in this chart"""
task:support action,help people decide what to do next,You might consider adding a call to action.,"For insights, if I am a manager and need to make decisions off of this dashboard, I am  not quite sure what decisions I should be making. Should I be looking for ways to increase revenue? Or reduce ticket prices?",
,,,,
design process:iterate and evaluate,"revise and validate the dashboard through feedback, usability testing, or regular evaluation","EVALUATE how well your viewers can use this three-fold view, as it's not a common graph type. You may decide having separate graphs is better, which you can link with a HIGHLIGHT ACTION to make it clear which data falls into which view.",,
design process:balance tradeoffs,notice the tradeoffs and choose a workable balance,"When you build dashboards for your stakeholders, they throw you requirements. Sometimes, their requirements are half-cooked, not well-organized, or even conflicting in some parts. it is the creator's job to analyze them and design a coherent view for the use case.",,
design process:choose data and encoding,think about both what to show and how to show it,use of headers and axes to tell the view the insight is a good way to develop a story line Think first in terms of what do I want the view to learn from the presentation and then build the visual to deliver that message,"regarding more information and functions to use: In order to answer ""what other information"" you should rethink the board in terms of questions. Questions lead to more questions, which helps identify information.",
design process:prototype early,try rough versions before locking in the design,"When designing a dashboard, you may benefit from sketching it out to intentionally design a data story flow that reveals your insight. This looks like it is mimicking pieces of paper, which makes it overly crowded.",,
design process:involve stakeholders,bring relevant people into decisions and build shared understanding,,,
design process:formalize process,"make ownership, updates, review, and change processes explicit",,,
design process:study users,learn from users before deciding what to build,I love the questions to guide the viewer. Do these align with the questions of your intended audience? Is this validated? Maybe even the wording that they use?,,
design process:adapt methods,adjust the design method to fit the dashboard context,,,
design process:align with strategic goals,"connect the dashboard to goals, strategy, and changing conditions","have a clear understanding of how users will use the dashboard-- which values they will want to explore. For example, if users need to see customers with the greatest due balances, your table should probable be SORTED by the balance/customer. Clearing Date and Due Date may be too granular for the view",,
design process:fit and socialize workflow,fit existing work practices and make the dashboard purpose and use process clear to the team,,,
design process:maintain load performance,keep dashboard performance responsive enough to support smooth use and analysis workflow,The space field IS getting crowded- so much so that it's difficult to interact with and probably take Tableau a long time to render. Any idea how many points you have there? You might look at what plotting by DENSITY does.,"You can run the performance optimizer to see if there are things you can do, but while the number of sheets can affect performance, the data and calculations impact it more.",
